Medicao,Dia,Consumo_kWh,Mes,Tipo,MesOrdem
Consumo ativo de Ponta,2025-04-11,6680.112031432578,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-12,41639.17021806791,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-13,39800.857526930005,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-14,34697.517454626875,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-14,5685.263105137353,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-15,35388.38915875116,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-15,5665.012327224319,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-16,36161.974897914995,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-16,5979.063803745668,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-17,36565.13892715763,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-17,5754.827818518956,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-18,36534.69811138341,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-19,41115.31134850934,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-20,37653.049187140736,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-21,39895.3764953946,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-22,35672.8348447881,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-22,5419.276926010392,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-23,34934.13329548068,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-23,4981.938010696225,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-24,33300.00134973429,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-24,5579.595584488575,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-25,38517.98369071166,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-25,5737.837240103882,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-26,41871.45632560014,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-27,39334.77094970269,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-28,34912.3111031963,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-28,5629.9629039133,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-29,35429.24176926095,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-29,5580.634085920013,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-30,35478.8599931344,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-30,5749.390568528625,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-05-01,35172.28387408216,Mai,Ajustado (delta),6
Consumo ativo Fora de Ponta,2025-05-02,34838.86617881086,Mai,Ajustado (delta),6
Consumo ativo de Ponta,2025-05-02,5672.411649923312,Mai,Ajustado (delta),6
Consumo ativo Fora de Ponta,2025-05-03,41312.330980498446,Mai,Ajustado (delta),6
Consumo ativo Fora de Ponta,2025-05-04,38691.61975578734,Mai,Ajustado (delta),6
Consumo ativo Fora de Ponta,2025-05-05,34884.99650588185,Mai,Ajustado (delta),6
Consumo ativo de Ponta,2025-05-05,5411.6179779535405,Mai,Ajustado (delta),6
Consumo ativo Fora de Ponta,2025-05-06,35129.32697256103,Mai,Ajustado (delta),6
Consumo ativo de Ponta,2025-05-06,5596.471232749436,Mai,Ajustado (delta),6
Consumo ativo Fora de Ponta,2025-05-07,35005.82814385199,Mai,Ajustado (delta),6
Consumo ativo de Ponta,2025-05-07,6170.891255241045,Mai,Ajustado (delta),6
Consumo ativo Fora de Ponta,2025-05-08,36777.54574940702,Mai,Ajustado (delta),6
Consumo ativo de Ponta,2025-05-08,5210.149782026967,Mai,Ajustado (delta),6
